K,in_declared_box,r,r_at_bound,r_unconstrained,g_max,Fp_Kstar,g_Kstar,constructive_q10_raw,constructive_q10,BAU_q10_T1_lo,BAU_q10_T1_hi,BAU_q10_Tinf_lo,BAU_q10_Tinf_hi,BAU_q10_Tinf_n_intervals,worst_vacuous,q05_vacuous
1000.0,True,0.5094,False,0.5094,127.36,0.6082,52.0,-62.85,0.0,943.2,2019.8,,,,True,True
1200.0,True,0.5248,False,0.5248,157.43,0.7511,122.01,7.16,7.16,884.6,2648.9,884.6,2648.9,1.0,True,True
1500.0,True,0.4099,False,0.4099,153.72,0.9264,148.77,33.92,33.92,884.6,4341.25,884.6,4341.25,1.0,True,True
1769.2,True,0.3559,False,0.3559,157.42,1.0,157.42,42.57,42.57,884.6,5925.95,884.6,5925.95,1.0,True,True
2000.0,True,0.3273,False,0.3273,163.65,1.0378,161.47,46.62,46.62,884.6,7298.1,884.6,7298.1,1.0,True,True
2500.0,True,0.2908,False,0.2908,181.73,1.085,166.2,51.35,51.35,884.6,10000.0,884.6,10000.0,1.0,True,True
3000.0,True,0.2704,False,0.2704,202.8,1.1109,168.66,53.81,53.81,884.6,10000.0,884.6,10000.0,1.0,True,True
4000.0,True,0.2485,False,0.2485,248.46,1.1386,171.18,56.33,56.33,884.6,10000.0,884.6,10000.0,1.0,True,True
5000.0,True,0.2369,False,0.2369,296.09,1.1531,172.46,57.61,57.61,884.6,10000.0,884.6,10000.0,1.0,True,True
7000.0,False,0.2248,False,0.2248,393.47,1.168,173.76,58.91,58.91,884.6,10000.0,884.6,10000.0,1.0,True,False
